coef,value
is_house,13475905.858518306
is_new:house_m2,19288.310229931274
date:house_m2,7226.978860726262
"C(building_type, contr.treatment('NA'))[NA]:house_m2",0.0
"C(building_type, contr.treatment('NA'))[ブロック造]:house_m2",156639.61259049104
"C(building_type, contr.treatment('NA'))[木造]:house_m2",149596.78822124834
"C(building_type, contr.treatment('NA'))[木造、ブロック造]:house_m2",279895.8791634875
"C(building_type, contr.treatment('NA'))[木造、軽量鉄骨造]:house_m2",88821.50666232212
"C(building_type, contr.treatment('NA'))[軽量鉄骨造]:house_m2",221116.70871215366
"C(building_type, contr.treatment('NA'))[鉄骨造]:house_m2",255069.14990126487
"C(building_type, contr.treatment('NA'))[鉄骨造、木造]:house_m2",108003.52753811688
"C(building_type, contr.treatment('NA'))[鉄骨造、軽量鉄骨造]:house_m2",223017.73711297588
"C(building_type, contr.treatment('NA'))[ＲＣ]:house_m2",374610.683500402
"C(building_type, contr.treatment('NA'))[ＲＣ、ブロック造]:house_m2",0.0
"C(building_type, contr.treatment('NA'))[ＲＣ、木造]:house_m2",255839.42833532058
"C(building_type, contr.treatment('NA'))[ＲＣ、木造、ブロック造]:house_m2",163611.95058984176
"C(building_type, contr.treatment('NA'))[ＲＣ、軽量鉄骨造]:house_m2",314202.30863064673
"C(building_type, contr.treatment('NA'))[ＲＣ、鉄骨造]:house_m2",556391.5294155367
"C(building_type, contr.treatment('NA'))[ＲＣ、鉄骨造、木造]:house_m2",28749.502998149976
"C(building_type, contr.treatment('NA'))[ＳＲＣ]:house_m2",98977.11777548159
date:land_m2,20458.599247505288
nearest_station_name[お花茶屋]:land_m2,297378.1426872474
nearest_station_name[つつじケ丘]:land_m2,407631.82414686633
nearest_station_name[とうきょうスカイツリー]:land_m2,718627.8085636558
nearest_station_name[ときわ台(東京)]:land_m2,515291.38327759854
nearest_station_name[一之江]:land_m2,319084.5492813442
nearest_station_name[三ノ輪]:land_m2,558171.7570145972
nearest_station_name[三ノ輪橋]:land_m2,163562.53755391703
nearest_station_name[三河島]:land_m2,448564.25778168475
nearest_station_name[三田(東京)]:land_m2,1161889.3319728777
nearest_station_name[三軒茶屋]:land_m2,824478.8909444712
nearest_station_name[三鷹]:land_m2,586121.1379792939
nearest_station_name[三鷹台]:land_m2,490757.24091557227
nearest_station_name[上中里]:land_m2,485360.6749489355
nearest_station_name[上井草]:land_m2,437077.9526677672
nearest_station_name[上北沢]:land_m2,521889.8799971034
nearest_station_name[上板橋]:land_m2,398139.04718469444
nearest_station_name[上町]:land_m2,654305.248895998
nearest_station_name[上石神井]:land_m2,422169.8949754988
nearest_station_name[上野]:land_m2,863685.0772086711
nearest_station_name[上野毛]:land_m2,718558.2021444798
nearest_station_name[下丸子]:land_m2,467720.70907669025
nearest_station_name[下井草]:land_m2,462955.0507860754
nearest_station_name[下北沢]:land_m2,795785.6597883528
nearest_station_name[下板橋]:land_m2,550709.3069795244
nearest_station_name[下神明]:land_m2,676156.1970065559
nearest_station_name[下落合(東京)]:land_m2,658820.4725840656
nearest_station_name[下赤塚]:land_m2,385057.7619186821
nearest_station_name[下高井戸]:land_m2,583139.5182287062
nearest_station_name[不動前]:land_m2,809322.049045961
nearest_station_name[世田谷]:land_m2,687722.9203919157
nearest_station_name[世田谷代田]:land_m2,749645.282526041
nearest_station_name[両国]:land_m2,792119.3111132887
nearest_station_name[中井]:land_m2,572486.4511484834
nearest_station_name[中延]:land_m2,716687.0330324627
nearest_station_name[中村橋]:land_m2,453460.51775330125
nearest_station_name[中板橋]:land_m2,431773.5936138611
nearest_station_name[中目黒]:land_m2,995227.5951437156
nearest_station_name[中野(東京)]:land_m2,696448.0745299022
nearest_station_name[中野坂上]:land_m2,696638.1137068196
nearest_station_name[中野富士見町]:land_m2,623971.3425952876
nearest_station_name[中野新橋]:land_m2,658172.7866682062
nearest_station_name[乃木坂]:land_m2,1335680.804346802
nearest_station_name[久が原]:land_m2,576599.9401332034
nearest_station_name[久我山]:land_m2,549186.214110895
nearest_station_name[九品仏]:land_m2,782071.131627498
nearest_station_name[亀戸]:land_m2,540131.3816607478
nearest_station_name[亀戸水神]:land_m2,409593.7198798615
nearest_station_name[亀有]:land_m2,331944.8673386078
nearest_station_name[二子玉川]:land_m2,690575.6580425313
nearest_station_name[五反田]:land_m2,1003274.7198795708
nearest_station_name[五反野]:land_m2,268323.583924
nearest_station_name[井の頭公園]:land_m2,594251.4408358413
nearest_station_name[井荻]:land_m2,478839.353035749
nearest_station_name[京急蒲田]:land_m2,490231.70776748384
nearest_station_name[京成小岩]:land_m2,284219.090444863
nearest_station_name[京成曳舟]:land_m2,417577.9216816946
nearest_station_name[京成立石]:land_m2,308966.1958567151
nearest_station_name[京成金町]:land_m2,110956.74976662153
nearest_station_name[京成関屋]:land_m2,304566.9298973852
nearest_station_name[京成高砂]:land_m2,301890.8214600112
nearest_station_name[人形町]:land_m2,1251981.8937222112
nearest_station_name[仙川]:land_m2,447023.42035934987
nearest_station_name[代々木]:land_m2,1147966.0677900484
nearest_station_name[代々木上原]:land_m2,928903.3834227538
nearest_station_name[代々木八幡]:land_m2,1002132.5836524736
nearest_station_name[代々木公園]:land_m2,1111473.4261889367
nearest_station_name[代官山]:land_m2,1478125.7378474376
nearest_station_name[代田橋]:land_m2,584073.363022403
nearest_station_name[仲御徒町]:land_m2,719512.8419432275
nearest_station_name[住吉(東京)]:land_m2,630249.0312133422
nearest_station_name[保谷]:land_m2,307898.0995074203
nearest_station_name[信濃町]:land_m2,926166.9511168217
nearest_station_name[光が丘]:land_m2,415159.70161161467
nearest_station_name[入谷(東京)]:land_m2,640717.6886919946
nearest_station_name[八丁堀(東京)]:land_m2,1088141.1498543792
nearest_station_name[八幡山]:land_m2,456803.26094653364
nearest_station_name[八広]:land_m2,298753.5085024072
nearest_station_name[八潮]:land_m2,221459.71843860898
nearest_station_name[六本木]:land_m2,1470279.096146793
nearest_station_name[六本木一丁目]:land_m2,1593745.5988375365
nearest_station_name[六町]:land_m2,281940.4560149334
nearest_station_name[六郷土手]:land_m2,401883.2774499748
nearest_station_name[初台]:land_m2,786992.007068795
nearest_station_name[勝どき]:land_m2,972549.7156053236
nearest_station_name[北千住]:land_m2,384442.72570429434
nearest_station_name[北千束]:land_m2,704691.7798431073
nearest_station_name[北参道]:land_m2,1160831.4454027768
nearest_station_name[北品川]:land_m2,1057042.6895225886
nearest_station_name[北池袋]:land_m2,514606.41188250325
nearest_station_name[北綾瀬]:land_m2,275451.61240471125
nearest_station_name[北赤羽]:land_m2,409607.9212836908
nearest_station_name[十条(東京)]:land_m2,474310.7326838918
nearest_station_name[千住大橋]:land_m2,375410.9601529682
nearest_station_name[千川]:land_m2,604425.8767420476
nearest_station_name[千歳烏山]:land_m2,500650.23342225933
nearest_station_name[千歳船橋]:land_m2,606908.6868986557
nearest_station_name[千石]:land_m2,849108.2397634865
nearest_station_name[千駄ケ谷]:land_m2,947996.9952049847
nearest_station_name[千駄木]:land_m2,787591.3421861342
nearest_station_name[千鳥町]:land_m2,564930.8442491108
nearest_station_name[半蔵門]:land_m2,1273793.8299221992
nearest_station_name[南千住]:land_m2,416575.7563288099
nearest_station_name[南新宿]:land_m2,979366.0999221115
nearest_station_name[南砂町]:land_m2,392491.6325324948
nearest_station_name[南阿佐ケ谷]:land_m2,564794.4452264662
nearest_station_name[原宿]:land_m2,1786349.517250566
nearest_station_name[参宮橋]:land_m2,941388.0445129487
nearest_station_name[吉祥寺]:land_m2,604082.4552246477
nearest_station_name[和泉多摩川]:land_m2,371760.8795840755
nearest_station_name[品川]:land_m2,1234810.8310746762
nearest_station_name[喜多見]:land_m2,373582.0309750944
nearest_station_name[四ツ木]:land_m2,296560.34526184143
nearest_station_name[四ツ谷]:land_m2,997886.0537820783
nearest_station_name[四谷三丁目]:land_m2,1025924.7260228478
nearest_station_name[国立競技場]:land_m2,838071.3580958248
nearest_station_name[地下鉄成増]:land_m2,414248.61671378615
nearest_station_name[地下鉄赤塚]:land_m2,422159.7772112128
nearest_station_name[堀切]:land_m2,314757.5683902817
nearest_station_name[堀切菖蒲園]:land_m2,271226.3900953835
nearest_station_name[外苑前]:land_m2,1565815.8209447386
nearest_station_name[多摩川]:land_m2,675605.3369570748
nearest_station_name[多磨]:land_m2,411245.8926131287
nearest_station_name[大久保(東京)]:land_m2,728933.093529845
nearest_station_name[大井町]:land_m2,713218.4234188191
nearest_station_name[大井競馬場前]:land_m2,445323.8239768326
nearest_station_name[大塚(東京)]:land_m2,631673.0985224344
nearest_station_name[大山(東京)]:land_m2,497328.6038304365
nearest_station_name[大岡山]:land_m2,756263.3091746601
nearest_station_name[大島(東京)]:land_m2,446208.8925338365
nearest_station_name[大崎]:land_m2,832832.2831340819
nearest_station_name[大崎広小路]:land_m2,613435.0838568507
nearest_station_name[大師前]:land_m2,247904.87943886378
nearest_station_name[大手町(東京)]:land_m2,1654006.7098701417
nearest_station_name[大森(東京)]:land_m2,620736.2300608396
nearest_station_name[大森海岸]:land_m2,765585.1925158205
nearest_station_name[大森町]:land_m2,471530.2343950422
nearest_station_name[大泉学園]:land_m2,374960.32169061905
nearest_station_name[大門(東京)]:land_m2,1874066.4134301872
nearest_station_name[大鳥居]:land_m2,453653.10162012826
nearest_station_name[天王洲アイル]:land_m2,743160.1791442432
nearest_station_name[天空橋]:land_m2,396873.21827837167
nearest_station_name[奥沢]:land_m2,824513.7340975429
nearest_station_name[学芸大学]:land_m2,886131.4315929522
nearest_station_name[宮の坂]:land_m2,636042.0872835084
nearest_station_name[宮ノ前]:land_m2,233675.77852303418
nearest_station_name[富士見ケ丘]:land_m2,538759.4256419926
